ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
École Nationale Supérieure de l’Électronique et de ses Applications;Cergy;0951376E;0951376E;95127
École Nationale Supérieure d' Electronique  et de ses Applications;cergy;0951376E;0951376E;95127
Université de Cergy-Pontoise;Cergy Pontoise;0951793H;0951793H;95127
Essec Business School;Cergy Pontoise;0951214D;0951214D;95127
Université de Cergy Pontoise ;Cergy Pontoise ;0951793H;0951793H;95127
ECAM EPMI;Cergy Pontoise;0951819L;0951819L;95127
Université de Cergy-Pontoise;Cergy-Pontoise;0951793H;0951793H;95127
ESSEC;Cergy-Pontoise;0951214D;0951214D;95127
ISTOM;Cergy-Pontoise;0951808Z;0951808Z;95127
Ecole Centrale Supélec cursus Supélec;Cesson Sévigné;0912341A;0351781W;35051
 CentraleSupélec Campus de Rennes;Cesson-Sévigné;0912341A;0351781W;35051
Arts et Métiers;Châlons-en-Champagne;0753237L;0510083N;51108
INSEEC ALPES SAVOIE;CHAMBERY;0754500J;0730899F;73065
université de savoie site jacob bellecombette;chambery;0730858L;0730858L;73065
universite de savoie mont blanc;chambery;0730858L;0730858L;73065
Polytech;Chambéry;0730858L;0731386K;73065
Université Savoie mont-blanc;Chambéry;0730858L;0730858L;73065
IAE Savoie Mont-Blanc;Chambéry;0730858L;0741723W;73065
INSEEC;Chambéry;0754500J;0730899F;73065
IPAC Chambéry;Chambéry;0731398Y;0731398Y;73065
IAE SAVOIE MONT BLANC;Chambéry;0730858L;0741723W;73065
Université de savoie;Chambéry;0730858L;0730858L;73065
Univesrité de Savoie Mont Blanc;Chambéry;0730858L;0730858L;73065
Université de Savoie - IUT Annecy-le-vieux;Chambéry - Annecy-le-vieux;0730858L;0741133E;74011
Université Paris-Est Marne La vallée ( Iae Gustave Eiffel);Champs Sur Marne;0772502B;;77083
ESIEE PARIS;Champs sur Marne ;0932019P;0932019P;77083
Ecole Nationale des Ponts et Chaussées;Champs sur Marne ;0772517T;0772517T;77083
Université Paris Est Marne La Vallée;Champs Sur Marne;0772502B;0772502B;77083
U-PEM;Champs sur Marne;0772502B;0772502B;77083
Université Paris-Est Marne la Vallée;Champs sur Marne;0772502B;0772502B;77083
École Nationale des Ponts et Chaussées;Champs sur Marne;0772517T;0772517T;77083
Université Paris Est Marne la Vallée;Champs-sur-Marne;0772502B;0772502B;77083
École Nationale des Ponts et Chaussées;Champs-sur-Marnes;0772517T;0772517T;77083
Institut Universitaire de Technologie de Reims Chalons Charleville;Charleville-Mézières;0511296G;0081084K;08105
AFPA ;chartres;;;28085
Université d'Orléans - IUT de Châteauroux;Châteauroux;0450855K;0360778A;36044
IUT de l'Indre;Châteauroux;0450855K;0360778A;36044
LEGTA Val de Seille;Château-Salins;0570112M;0570112M;57132
CentraleSupelec, campus de Chatenay Malabry (ex-ECP);Chatenay Malabry;0912341A;0912341A;92019
Ecole Centrale Paris;CHATENAY MALABRY;0912341A;0912341A;92019
Ecole Centrale de Paris;Chatenay Malabry;0912341A;0912341A;92019
Centrale Paris;Chatenay Malabry;0912341A;0912341A;92019
Ecole Centrale Paris;Châtenay Malabry;0912341A;0912341A;92019
Ecole Centrale Paris;Chatenay-Malabry;0912341A;0912341A;92019
École Centrale Paris;Chatenay-Malabry;0912341A;0912341A;92019
U-PSUD;Chatenay-Malabry;0911101C;0911101C;92019
Centrale Paris;Châtenay-Malabry;0912341A;0912341A;92019
CentraleSupélec;Châtenay-Malabry;0912341A;0912341A;92019
Ecole Centrale Paris;Châtenay-Malabry;0912341A;0912341A;92019
Université Paris Sud;Châtenay-Malabry;0911101C;0911101C;92019
Centrale Paris - ESSEC;Châtenet-Malabry et Cergy-Pontoise;0912341A;0912341A;92019
ESIX NORMANDIE;Cherbourg-Octeville;0141408E;0501991T;50129
