ETABLISSEMENT;VILLE;UAI;COMPO;COM_CODE
Arts et Métiers ParisTech;Paris;0753237L;0753237L;75056
IUT Paris-Descartes - Université Paris-Descartes;Paris;0751721N;0754247J;75056
The American Business School Paris;Paris;0754412N;0754412N;75056
ISCOM PARIS;PARIS;0753435B;0753435B;75056
ISCPA;Paris;0755324E;0755324E;75056
ISEP (Institut Supérieur d'Électronique de Paris);Paris;0753559L;0753559L;75056
ISCPA Paris;Paris;0755324E;0755324E;75056
 Institut Galilée (Paris 13);Paris ;0931238R;0932059H;93079
Paris I LA SORBONNE;Paris;0751717J;0751717J;75056
ISC Paris;Paris;0750252S;0750252S;75056
ISEP;PARIS;0753559L;0753559L;75056
Duperré;Paris;0750672Y;0750672Y;75056
IRCAM - UPMC - Telecom ParisTech;Paris;0751722P;0751722P;75056
CELSA;PARIS;0751720M;0921509R;75056
Lycée Condorcet;Paris;0750667T;0750667T;75056
IUT Paris Descartes;Paris;0751721N;0754247J;75056
ISG Paris;Paris;0753620C;0753620C;75056
CONSERVATOIRE DES ARTS ET METIERS;PARIS;0753471R;0753471R;75056
ISC;Paris;0750252S;0750252S;75056
ComUE Paris Sciences et Lettres;Paris;0755700N;0755700N;75056
SciencesPo Paris  +  ENSEEIHT;Paris   -    Toulouse;0753431X;0753431X;75056
Université Paris Ouest Nanterre la Défense;Paris - Île de France;0921204J;0921204J;92050
ESG MANAGEMENT SCHOOL;PARIS (11ème);0753111Z;0753111Z;75056
Paris Descartes faculté de Médecine ;Paris (75006);0751721N;0755113A;75056
ESTP Paris;Paris / Bordeaux;0942340H;0942340H;94016
ESCP Europe;Paris / Madrid;0753547Y;0753547Y;75056
Chaptal;Paris 08;0750663N;0750663N;75056
Université Paris 1 Panthéon Sorbonne ;Paris 1;0751717J;0751717J;75056
Lycée Pierre Gilles de Genes ENCPB;Paris 13;0750685M;0750685M;75056
Université Paris Dauphine;Paris 16;0750736T;0750736T;75056
Institut universitaire et technologique (IUT) Paris Descartes;Paris 16ème arrondissement;0751721N;0754247J;75056
IRIS - PARIS 17e;PARIS 17e;0753082T;0753082T;75056
Isc Paris ;Paris 17ème;0750252S;0750252S;75056
ISC PARIS;Paris 17ème / Levallois ;0750252S;0750252S;75056
Lycée Diderot;Paris 19 ème;0750712S;0750712S;75056
Lycée TURGOT;Paris 3ème;0750647W;0750647W;75056
Paris Diderot ;Paris 7;0751723R;0751723R;75056
Université Paris Descartes;Paris 75006;0751721N;0751721N;75056
Ecole Nationale de Commerce (ENC Bessières);Paris 75017;0750707L;0750707L;75056
ISC Paris Business Shool;Paris 75017;0750252S;0750252S;75056
Université Paris 1 Panthéon Sorbonne;Paris et Londres;0751717J;0751717J;75056
Université Paris-Dauphine     &         Brock University;Paris FRANCE                      &          St. Catharines, Ontario CANADA;0750736T;0750736T;75056
Université Pierre et Marie Curie;Paris VI;0751722P;0751722P;75056
ECE Paris;Paris XVème;0754431J;0754431J;75056
EBS Paris;Paris XVème;0755671G;0755671G;75056
Edhec;Paris, Nice;0590350K;0061770S;75056
École Supérieur des Sciences Commerciales d'Angers (ESSCA);Paris-Angers;0490076S;0922593U;92012
IAE Pau-Bayonne;PAU;0640251A;0641845H;64445
UNIVERSITE DE PAU ET DES PAYS DE L'ADOUR;Pau;0640251A;0640251A;64445
ESC PAU;PAU;0640096G;0640096G;64445
Exia - Cesi;Pau;0755372G;0642029H;64067
Université de Pau et des Pays de l'Adour;Pau;0640251A;0640251A;64445
LYCÉE LOUIS BARTHOU;PAU;0640055M;0640055M;64445
Université Pau Pays de l'Adour;Pau;0640251A;0640251A;64445
Exia;Pau;0755372G;0642029H;64067
Université de Pau et Pays de l'Adour (UPPA);PAU;0640251A;0640251A;64445
Université de Pau et du Pays de l'Adour;Pau;0640251A;0640251A;64445
Université de Pau;Pau;0640251A;0640251A;64445
EISTI - École Internationale des Sciences du Traitement de l'Information;PAU 64000;0951623Y;0642004F;64445
université via Domitia Perpignan;Perpignan;0660437S;0660437S;66136
IFC Roussillon;Perpignan;0841042B;0660919R;66136
Lycée François Arago;Perpignan;0660010C;0660010C;66136
Université de Perpignan;Perpignan;0660437S;0660437S;66136
IAE VIA DOMITIA ;PERPIGNAN;0660437S;0660802N;66136
Université de Perpignan Via Domitia (UPVD);Perpignan;0660437S;0660437S;66136
Institut d’administration a u entreprise;Perpignan;0660437S;0660802N;66136
UPVD;Perpignan;0660437S;0660437S;66136
Université de Perpignan Via Domitia;Perpignan;0660437S;0660437S;66136
Bordeaux IV;Pessac;0333298F;0333298F;33318
ENSCBP;Pessac;0333232J;0333238R;33318
Lycée Professionnel Charles Alliès;PEZENAS;0340061G;0340061G;34199
Pôle enseignement supérieur Notre Dame de la Paix (Ploemeur);Ploemeur;0560180S;0560180S;56162
ESPE GUADELOUPE;POINTE-A-PITRE;9711244A;9711244A;97120
Université des Antilles;Pointe-à-Pitre;9710585J;9710585J;97120
ENSI Poitiers (ENSIP);POITIERS;0860856N;0861041P;86194
Faculté de Pharmacie;Poitiers;0860856N;0860986E;86194
ENSIP ;Poitiers;0860856N;0861041P;86194
FSS Poitiers ;Poitiers ;0860856N;0860069H;86194
UFR Sciences humaines et art;Poitiers;0860856N;0860989H;86194
ISAAC DE L'ÉTOILE;POITIERS;0860755D;0860755D;86194
Lycée Camille Guérin;Poitiers;0860035W;0860035W;86194
Université de Poiitiers;Poitiers;0860856N;0860856N;86194
Université de Poitiers;Poitiers;0860856N;0860856N;86194
SP2MI - Université de Poitiers;Poitiers;0860856N;;86194
Faculté des Sciences du Sport;Poitiers;0860856N;0860069H;86194
IUT GEA ;Poitiers;0860856N;0860703X;86194
Poitiers-CNED Institut Futuroscope -;Poitiers;0861288H;0861288H;86062
Faculté de sciences fondamentales et appliquées Université de Poitiers;Poitiers;0860856N;0860991K;86194
IUT GEA;POITIERS 86000;0860856N;0860703X;86194
Lycée Aliénor d'Aquitaine;Poitiers 86000;0860038Z;0860038Z;86194
HANZELET;PONT A MOUSSON;0541270M;0541270M;54431
ESPM (École Supérieure De Publicité et Marketing) - Brésil;Porto Alegre, Brésil.;ETRANGERPR;ETRANGERPR;Porto Alegre
Sciences po paris;pqris;0753431X;0753431X;75056
IUT Quimper;Quimper;0290346U;0290352A;29232
Lycée Ste Thérèse;QUIMPER;0290171D;0290171D;29232
I.U.T. Quimper;Quimper;0290346U;0290352A;29232
École Pigier;Quimper;0751698N;0292179L;29232
Pole Universitaire Per Jakez Hélias;Quimper;0290346U;0292136P;29232
Skema business school;Raleigh (Caroline du nord - USA) - Montréal (Canada);0590346F;;Raleigh
ESC Rennes School of Business;Redon;0352305R;;35236
IUT REIMS;REIMS;0511296G;0511026N;51454
UFR STAPS reims;Reims;0511296G;0511818Z;51454
Université de Reims Champagne-Ardenne;Reims;0511296G;0511296G;51454
UFR STAPS de Reims;Reims;0511296G;0511818Z;51454
Lycée Franklin Roosevelt ;Reims;0510034K;0510034K;51454
IUT de Reims Châlons Charleville;Reims;0511296G;0511026N;51454
Neoma Business School;Reims;0760167U;0510088U;51454
IUT de Reims;REIMS;0511296G;0511026N;51454
Faculté des sciences exactes et naturelles;REIMS;0511296G;0511382A;51454
URCA;Reims;0511296G;0511296G;51454
NEOMA BUSINESS-SCHOOL;REIMS;0760167U;0510088U;51454
AGROCAMPUS-OUEST;RENNES;0352692L;0352692L;35238
UFR Médecine Rennes;Rennes;0350936C;0351576Y;35238
École Supérieur de Commerce ;Rennes;0352305R;0352305R;35238
Sciences Po Rennes;Rennes;0352317D;0352317D;35238
Université de Rennes II;Rennes;0350937D;0350937D;35238
Université de Rennes I;Rennes;0350936C;0350936C;35238
Université de Rennes 2;Rennes;0350937D;0350937D;35238
SUPELEC  - Campus de Rennes (CentraleSupélec);Rennes;0912341A;0351781W;35238
ISTIC;Rennes;0350936C;0352815V;35238
CENTRE PROFESSIONNEL DE L'AFTEC;RENNES;0352382Z;0352382Z;35238
UFR Médecine;Rennes;0350936C;0351576Y;35238
Université de Rennes 2 - Campus Villejean;Rennes;0350937D;0350937D;35238
IGR IAE;Rennes;0350936C;0350075S;35238
IGR IAE Rennes 1;Rennes;0350936C;0350075S;35238
IGR-IAE;Rennes;0350936C;0350075S;35238
Ecam Rennes;Rennes;0352337A;0352337A;35047
INSA de Rennes;Rennes;0350097R;0350097R;35238
Ecole des Hautes Etudes en Santé Publique/Université Rennes 1;Rennes;0350095N;0350095N;35238
INSA Rennes;Rennes;0350097R;0350097R;35238
Ecole de Commerce et Management- ESUP;Rennes;0352275H;0352275H;35238
Ecole Européenne Supérieure d'Art de Bretagne;Rennes;0352853L;0352853L;35238
Centrale-Supelec;Rennes;0912341A;0351781W;35051
Université Rennes 2;Rennes;0350937D;0350937D;35238
Université de Rennes 1;RENNES;0350936C;0350936C;35238
IGR-IAE Rennes;Rennes;0350936C;0350075S;35238
IUT chimie de Rennes;Rennes;0350936C;0350697T;35238
EESAB Ecole Européenne Supérieur d'Art de Bretagne;Rennes;0352854M;0352854M;35238
ESC RENNES SCHOOL OF BUSINESS;Rennes (35 - Ille-et-Vilaine);0352305R;0352305R;35238
Centre universitaire Roannais - Université Jean Monnet;Roanne;0421095M;0422152L;42187
Université Jean-François Champollion;RODEZ;0811293R;0811293R;12202
CUFR Jean-François Champollion;Rodez;0811293R;0811293R;12202
UFR STAPS de Ronchin (Lille 2);Ronchin;0593560Z;0590314W;59507
UFR STAPS Lille 2;Ronchin;0593560Z;0590314W;59507
Lycée Jean Rostand;Roubaix;0590184E;0590184E;59512
Institut du Management et du Marketing de la Distribution (IMMD);Roubaix;0593560Z;;59512
UFR Rouen;Rouen;0761904G;0761904G;76540
Neoma Business School;Rouen;0760167U;0760167U;76451
Paris 8 - Vincennes Saint-Denis;Saint Denis;0931827F;0931827F;93066
UFR Sciences et technologies, Université de la Réunion;Saint Denis;9740478B;9740569A;97411
Paris 8 Vincennes Saint Denis;Saint Denis;0931827F;0931827F;93066
paris 8;saint denis;0931827F;0931827F;93066
Université du Moufia;Saint Denis;9740478B;9740478B;97411
Université Paris 8;Saint Denis;0931827F;0931827F;93066
IAE saint Etienne;Saint Etienne;0421095M;0422170F;42218
Université Jean Monnet;Saint Etienne;0421095M;0421095M;42218
Lycée Etienne Mimard;Saint Etienne;0420046X;0420046X;42218
IAE;SAINT MARTIN D'HERES;0383493R;0383336V;38185
IAE Grenoble;Saint Martin d'Hères;0383493R;0383336V;38185
SUPTEK;Saint Maur des Fosses;;;94068
Polytech Nantes;Saint Nazaire;0440984F;0442410F;44184
Polytech Nantes saint nazaire;Saint Nazaire;0440984F;0442410F;44184
Lycée des métiers de l’ameublement ;Saint Quentin 02100;0020051V;0020051V;02691
 Université Versailles Saint Quentin en Yvelines;Saint Quentin en Yvelines;0781944P;0781944P;78297
Université+de+la+Réunion;Saint1Denis;9740478B;9740478B;97411
IUT Saint-Brieuc ;Saint-Brieuc;0350936C;0221848P;22278
Paris VIII;Saint-Denis;0931827F;0931827F;93066
Université de Vincennes - Paris 8;Saint-Denis;0931827F;0931827F;93066
Université de la Réunion;Saint-Denis;9740478B;9740478B;97411
IUT de Saint-Denis;Saint-Denis;0931238R;0931002J;93066
UNIVERSITE PARIS 8;SAINT-DENIS;0931827F;0931827F;93066
Paris 8 - Vincennes;Saint-Denis;0931827F;0931827F;93066
Paris 8 saint Denis ;Saint-Denis;0931827F;0931827F;93066
Université Paris 8;Saint-Denis;0931827F;0931827F;93066
Université Paris VIII;Saint-Denis;0931827F;0931827F;93066
Université Paris 8 Vincennes Saint-Denis;Saint-Denis;0931827F;0931827F;93066
URMA, Centre de formation de Sainte-Clotilde;Sainte-Clotilde;9740986D;9740986D;97411
Université Jean Monnet - IAE Saint-Etienne;Saint-Etienne;0421095M;0422170F;42218
Institut Universitaire de Technologie de Saint-Etienne;Saint-Etienne;0421095M;0420957M;42218
Ecole Nationale d'Ingénieurs de Saint-Etienne (ENISE);Saint-Etienne;0420093Y;0420093Y;42218
Ecole Nationale Supérieure des Mines de Saint-Etienne;Saint-Etienne;0420094Z;0420094Z;42218
IUP MANAGEMENT;Saint-Etienne;0421095M;0422170F;42218
Télécom Saint-Etienne;Saint-Etienne;0421095M;0422026Z;42218
Institut d'Administration des Entreprises / Faculté de droit;Saint-Etienne;0421095M;0422170F;42218
Institut d'administration des entreprises - Université Jean Monnet ;Saint-Etienne;0421095M;0422170F;42218
Université Jean-Monnet ( Institut d'Adminstration Des Entreprises (IAE));Saint-Etienne;0421095M;0422170F;42218
Université de Jean-Monnet ( IAE DE SAINT ETIENNE);Saint-Etienne;0421095M;0422170F;42218
IUT;Saint-Etienne;0421095M;0420957M;42218
IAE Saint-Etienne;Saint-Etienne;0421095M;0422170F;42218
Telecom Saint-Etienne;Saint-Etienne;0421095M;0422026Z;42218
IAE-Telecom Saint-Etienne ;Saint-Etienne;0421095M;0422170F;42218
Université Jean Monnet;Saint-Etienne;0421095M;0421095M;42218
Université Jean Monnet Saint-Etienne - ISEAG;Saint-Etienne;0421095M;0422170F;42218
Télécom Saint-Étienne;Saint-Étienne;0421095M;0422026Z;42218
École nationale supérieure des Mines de St-Étienne;Saint-Étienne;0420094Z;0420094Z;42218
Université Jean Monnet;Saint-Étienne;0421095M;0421095M;42218
École des Mines de Saint-Étienne;Saint-Étienne;0420094Z;0420094Z;42218
Université Joseph Fourier;Saint-Martin d'Hères;0383493R;0381838S;38421
Université Pierre Mendès-France & Université Stendhal;Saint-Martin-d'Hères;0383493R;0381839T;38421
Université Grenoble Alpes;Saint-Martin-d'Hères;0383412C;0383412C;38421
Ensimag - Grenoble INP;Saint-Martin-d'Hères;0381912X;0383399N;38421
IUT Saint-Nazaire;Saint-Nazaire;0440984F;0440982D;44184
IUT de Saint-Nazaire;Saint-Nazaire;0440984F;0440982D;44184
IUT de Saint-Nazaire;Saint-Nazaire (44);0440984F;0440982D;44184
IUT de Saint-Nazaire;Saint-Nazaire / Flensburg ;0440984F;0440982D;44184
l’universite? d’État de Saint-Pe?tersbourg. ;Saint-Pe?tersbourg;ETRANGERPU;ETRANGERPU;Saint-Pétersbourg
INSSET;Saint-Quentin;0801344B;0020087J;02691
Université Versailles Saint-Quentin  en Yvelines;Saint-Quentin en Yvelines;0781944P;0781944P;78297
Université Versailles Saint-Quentin en Yvelines;Saint-Quentin en Yvenlines;0781944P;0781944P;78297
Institut Supérieur de Management / Université Versailles Saint-Quentin-en-Yvelines;Saint-Quentin-en-Yvelines;0781944P;0783600P;78297
IUT Salon de Provence (Université Aix Marseille);Salon de Provence;0134009M;0133502L;13103
Universidad Economia y Empresa  / IUT ;Saragosse / Roubaix;0593560Z;0594581J;59512
sécurité communication concept;sarreguemines;;;57631
IUT Lorraine;Sarreguemines;0542493S;0573433X;57631
IUT MOSELLE EST;SARREGUEMINES;0542493S;0573433X;57631
CFA HENRI NOMINE;SARREGUEMINES;0570099Y;0570099Y;57631
IUT Moselle-Est;Sarreguemines;0542493S;0573433X;57631
CFA Henri Nominé;Sarreguemines;0570099Y;0570099Y;57631
IUT DE MOSELLE-EST;SARREGUEMINES;0542493S;0573433X;57631
iut de moselle est;sarreguemines;0542493S;0573433X;57631
IUT Sarreguemines;Sarreguemines;0542493S;0573433X;57631
Lycée Roger Deschaux ;Sassenage (38360);0382099A;0382099A;38474
Corot;Savigny sur orge;0910627M;0910627M;91589
Faculté Jean monnet Sceaux ;Sceaux;0911101C;0921432G;92071
Université Paris Saclay - Campus Paris Sud;Sceaux;0911101C;0911101C;92071
Paris Saclay- Universite Paris sud 11;Sceaux;0911101C;0911101C;92071
Université Paris Saclay ;Sceaux ;0911101C;0911101C;92071
Faculté Jean Monnet de l'université Paris-saclay;sceaux;0911101C;0921432G;92071
Université Paris - Faculté Jean-Monnet;Sceaux;0911101C;0921432G;92071
Université Paris Sud;Sceaux;0911101C;0911101C;92071
Université Paris Sud 11;Sceaux ;0911101C;0911101C;92071
EPF ;Sceaux;0920674H;0920674H;92071
Paris XI;Sceaux;0911101C;0911101C;92071
paris sud;Sceaux;0911101C;0911101C;92071
EPF SCEAUX;SCEAUX;0920674H;0920674H;92071
Université Jean Monnet (Paris Sud);Sceaux;0911101C;0921432G;92071
Faculté Paris Sud XI;Sceaux;0911101C;0911101C;92071
Université Paris-Saclay (Faculté Jean-Monnet);Sceaux;0911101C;0921432G;92071
Jean Monnet à Sceaux - université Paris Sud ;Sceaux;0911101C;0921432G;92071
Université Paris Sud / Université Saclay;Sceaux;0911101C;0911101C;92071
IUT Louis Pasteur de Schilthigheim;SCHILTIGHEIM;0673021V;0672462M;67447
UAG Martinique;Schoelcher;9710585J;9710585J;97229
Université des Antilles Guyane;Schoelcher;9710585J;9710585J;97229
Université des Antilles;Schoelcher;9710585J;9710585J;97229
Université des Antilles, Pôle Martinique;Schoelcher, Martinique;9710585J;9710585J;97229
Université des Antilles et de la Guyane;Schoelcher, Martinique;9710585J;9710585J;97229
Paris 8;Seine Saint-Denis;0931827F;0931827F;93066
UPEM;Serris;0772502B;0772502B;77449
IFIS- Université PAris Est Marne la Vallée;SERRIS;0772502B;0772717K;77449
Université Paris Est Marne La Vallée (UPEM);SERRIS;0772502B;0772502B;77449
École Nationale d'Ingénieurs de Sfax, Tunisie;Sfax;ETRANGERPU;ETRANGERPU;Sfax
École Polytechnique de l'Université de Nice;Sophia Antipolis;0060931E;0062020N;06152
Skema;Sophia Antipolis;0590346F;0060656F;06152
Polytech Nice Sophia;Sophia Antipolis;0060931E;0062020N;06152
SKEMA Business School;Sophia-Antipolis (06);0590346F;0060656F;06152
Les Bruyeres;Sotteville-lès-rouen;0760109F;0760109F;76681
CPFP LA ROUATIERE;SOUILHANELS;0110942P;0110942P;11382
University of Southampton;Southampton, UK;ETRANGERPU;ETRANGERPU;Southampton
Université de la Réunion;St Denis/Tampon;9740478B;9740478B;97422
IUT de St Nazaire;St Nazaire;0440984F;0440982D;44184
Bible-Doc ;Staford, USA;ETRANGERPR;ETRANGERPR;Stafford
Université de la Réunion ;Ste Clotilde;9740478B;;97411
Université Jean Monnet;St-Etienne;0421095M;0421095M;42218
École de Géologie - Université d’État d'Oklahoma, USA;Stillwater;ETRANGERPU;ETRANGERPU;Stillwater
Lycée des métiers de l'ameublement;St-Quentin;0020051V;0020051V;02691
Lycée René Cassin;Strasbourg;0670086E;0670086E;67482
IUT Robert SCHUMAN;Strasbourg;0673021V;0671557D;67482
IUT Robert Schuman Illkirch;STRASBOURG;0673021V;0671557D;67482
Faculté de Droit, de Gestion et de Sciences Politiques;Strasbourg ;0673021V;0671872W;67482
Université de Strasbourg;Strasbourg;0673021V;0673021V;67482
Faculté de Droit + Faculté des Sciences de la vie;Strasbourg;0673021V;0671879D;67482
Ecole de Management de Strasbourg;Strasbourg;0673021V;0673015N;67482
Faculté de Droit;Strasbourg;0673021V;0671879D;67482
Lycée Lecorbusier;Strasbourg;0672198A;0672198A;67218
INSA;Strasbourg;0670190T;0670190T;67218
Université de Strabourg;Strasbourg;0673021V;0673021V;67482
INSA Strasbourg;Strasbourg;0670190T;0670190T;67482
école doctorale 519;STRASBOURG;0673021V;0673021V;67482
IEP Strasbourg;Strasbourg;0673021V;0670178E;67482
Université de Strasbourg, faculté de Droit de Sciences Politiques et de Gestion;Strasbourg;0673021V;0671879D;67482
EXIA CESI;Strasbourg;0672969N;0672969N;67482
UFR physique et ingenierie;Strasbourg ;0673021V;0673024Y;67482
Sciences Po Strasbourg;Strasbourg;0673021V;0670178E;67482
EM de Strasbourg;Strasbourg;0673021V;0673015N;67218
École Nationale du Génie de l'Eau et de l'Environnement de Strasbourg (ENGEES);Strasbourg;0670189S;0670189S;67482
I.E.S.A;Strasbourg;0672770X;0672770X;67482
SUPINFO;Strasbourg;0754939L;0673003A;67218
CNED-Centre National d'enseignement à Distance;Strasbourg;0861288H;0861288H;67482
INSA de Strasbourg;STRASBOURG;0670190T;0670190T;67482
EM Strasbourg Business School;Strasbourg;0673021V;0673015N;67482
ENGEES;Strasbourg;0670189S;0670189S;67482
ENSIIE Strasbourg;Strasbourg;0912266U;0673054F;67482
UFR Physique & Ingénierie Strasbourg;Strasbourg;0673021V;0673024Y;67482
Faculté de Droit, de Sciences Politiques et de Gestion;STRASBOURG;0673021V;0671872W;67482
FSEG;Strasbourg;0673021V;0671872W;67482
Faculté des sciences économiques et de la gestion;Strasbourg;0673021V;0671872W;67482
Faculté des Sciences Économiques et de Gestion, Université de Strasbourg;Strasbourg;0673021V;0671872W;67482
Faculté des Sciences Economiques et de Gestion Strasbourg;Strasbourg;0673021V;0671872W;67482
Faculté des Sciences économiques et de Gestion;STRASBOURG;0673021V;0671872W;67482
Faculté des Sciences Economiques et de Gestion;Strasbourg;0673021V;0671872W;67482
Faculté des sciences économiques et de de gestion;Strasbourg;0673021V;0671872W;67482
Haute École des Arts du Rhin - École supérieure des Arts décoratifs;Strasbourg;0670187P;0670187P;67482
Faculté de Sciences Économiques et de Gestion;Strasbourg;0673021V;0671872W;67482
EM Strasbourg;Strasbourg;0673021V;0673015N;67482
EI CESI;STRASBOURG (67);0755372G;0673064S;67267
ECOLE DE MANAGEMENT DE STRASBOURG;STRASBOURG-FRANCE;0673021V;0673015N;67482
ENSEIRB-MATMECA;Talence;0333232J;0333239S;33522
Université BORDEAUX 1;TALENCE;0333298F;0333298F;33522
Centre ENSAM Bordeaux-Talence;Talence;0753237L;0330201P;33522
Bordeaux INP ENSEIRB-MATMECA;TALENCE;0333232J;0333239S;33522
Estonian Academy of Arts;Tallinn;ETRANGERPU;ETRANGERPU;Tallinn
Ecole Nationale d'Ingénieurs de Tarbes, Intitut National Polytechnique de Toulouse;Tarbes;0650048Z;0650048Z;65440
université Toulouse 3 Paul Sabatier ;Tarbes;0311384L;0311384L;65440
Ecole Nationale d'Igénieurs de Tarbes;Tarbes;0650048Z;0650048Z;65440
IUT Tarbes;Tarbes;0311384L;0650583F;65440
ENIT;Tarbes;0650048Z;0650048Z;65440
I.R.T.H ;Tarbes;0651015A;0651015A;65440
Université de Pau et des Pays de l'Adour;Tarbes;0640251A;0640251A;65440
École Nationale d'Ingénieurs de Tarbes;Tarbes;0650048Z;0650048Z;65440
École Nationale d'Ingénieurs de Tarbes (ENIT);Tarbes;0650048Z;0650048Z;65440
Université Alzahra;Téhéran;ETRANGERPU;ETRANGERPU;Téhéran
Université Allameh-Tabatabaei;Téhéran(Iran);ETRANGERPU;ETRANGERPU;Téhéran
ENS;Tetouan, Maroc;ETRANGERPU;ETRANGERPU;Tétouan
Université des Etudes de  Torino (Italie);Torino;ETRANGERPU;ETRANGERPU;Turin
Université de toulon;Toulon;0830766G;0830766G;83137
ISEN ;Toulon;0590347G;0831458J;83137
IAE - Université de Toulon;Toulon;0830766G;0831611A;83062
Toulouse School of Economics;Toulouse;0311382J;0311514C;31555
Paul Sabatier;Toulouse;0311384L;0311384L;31555
Université Toulouse II;Toulouse;0311383K;0311383K;31555
PAUL SABATIER III PONSAN;TOULOUSE;0311384L;0311384L;31555
Prépa Pierre de Fermat;Toulouse;0310036W;0310036W;31555
UNIVERSITE TOULOUSE JEAN JAURES;TOULOUSE;0311383K;0311383K;31555
Université Toulouse Jean Jaures (2);Toulouse ;0311383K;0311383K;31555
Université Toulouse 3 Paul Sabatier ;Toulouse ;0311384L;0311384L;31555
UT1 IAE;Toulouse;0311382J;0312241T;31555
Toulouse Business School (ESC Toulouse);Toulouse;0310156B;0310156B;31555
ESICAD;TOULOUSE;0341820U;;31555
TOULOUSE BUSINESS SCHOOL;Toulouse;0310156B;0310156B;31555
UT1 capitole;Toulouse;0311382J;0311382J;31555
IAE;Toulouse;0311382J;0312241T;31555
Toulouse 1 Capitole;Toulouse;0311382J;0311382J;31555
Université Jean Jaurès Toulouse II ;Toulouse ;0311383K;0311383K;31555
Université Jean Jaurès ;Toulouse;0311383K;0311383K;31555
ETPA;Toulouse;0312061X;0312061X;31035
La Prépa des INP;Toulouse;0311381H;0312390E;31555
ISTHIA, Université Toulouse-Jean Jaurès;Toulouse;0311383K;0312545Y;31555
Université Paul Sabatier - IUT Ponsan;Toulouse;0311384L;0311086M;31555
Ecole supérieur de commerce;Toulouse;0310156B;0310156B;31555
Université Paul Sabatier;Toulouse;0311384L;0311384L;31555
Université de Toulouse 2 ;Toulouse ;0311383K;0311383K;31555
Université de Toulouse le Mirail;Toulouse;0311383K;0311383K;31555
Ecole Nationale Supérieure d'Architecture de Toulouse;Toulouse;0310150V;0310150V;31555
INP-ENSIACET;Toulouse;0311381H;0312589W;31555
Le Mirail Jean Jaures;Toulouse;0311383K;0311383K;31555
IAE TOULOUSE;TOULOUSE;0311382J;0312241T;31555
Université de Paul Sabatier;TOULOUSE;0311384L;0311384L;31555
UNIVERSITE PAUL SABATIER ;TOULOUSE;0311384L;0311384L;31555
Lycée Ozenne;Toulouse;0310047H;0310047H;31555
 IAE de Toulouse, Université de Toulouse I - Capitole;Toulouse;0311382J;0312241T;31555
École Nationale Supérieure d'Architecture de Toulouse;Toulouse;0310150V;0310150V;31555
IUT Ponsan;Toulouse;0311384L;0311086M;31555
Université Toulouse 1 Capitole;TOULOUSE;0311382J;0311382J;31555
ENSEEIHT;Toulouse;0311381H;0310120M;31555
UNIVERSITE TOULOUSE 1 CAPITOLE ;TOULOUSE;0311382J;0311382J;31555
INSA Toulouse;Toulouse;0310152X;0310152X;31555
INSA de Toulouse;Toulouse;0310152X;0310152X;31555
UNIVERSITE PAUL SABATIER TOULOUSE 3;TOULOUSE;0311384L;0311384L;31555
UNIVERSITE TOULOUSE 1 - CAPITOLE ;TOULOUSE;0311382J;0311382J;31555
Toulouse Business School;Toulouse (31);0310156B;0310156B;31555
Toulouse Business School;Toulouse et Barcelone (Espagne);0310156B;0310156B;31555
ESH LILLE;Tourcoing;0595877T;0595877T;59599
IUT;Tours;0370800U;0370770L;37261
ESCEM (Ecole Supérieure de Commerce et de Management);Tours;0371376V;0371376V;37261
POLYTECH;TOURS;0370800U;0371610Z;37261
Lycée privé polyvalent d'esthétique de Touraine;Tours;0371532P;0371532P;37261
IUT de Tours Nord;Tours;0370800U;0370770L;37261
IUT GEA Tours;Tours;0370800U;0370770L;37261
Polytech Tours;Tours;0370800U;0371610Z;37261
Polytech' Tours;Tours;0370800U;0371610Z;37261
CESR Université François Rabelais Tours;Tours;0370800U;0371081Z;37261
Polytech'Tours;Tours;0370800U;0371610Z;37261
Institut des Métiers Technique;Tours;0371514V;0371514V;37261
Université François Rabelais de Tours;Tours;0370800U;0370800U;37261
IAE de Tours - Université François Rabelais;Tours ;0370800U;0371088G;37261
Institut des Entreprises et des Administrations de Tours (IAE);Tours;0370800U;0371088G;37261
IAE de Tours;Tours;0370800U;0371088G;37261
IAE;Tours;0370800U;0371088G;37261
ESCEM;TOURS;0371376V;0371376V;37261
Université François Rabelais - IUT de Tours-Nord;Tours;0370800U;0370770L;37261
Université François Rabelais;Tours ;0370800U;0370800U;37261
Université François-Rabelais;TOURS;0370800U;0370800U;37261
Université François-Rabelais Tours;Tours;0370800U;0370800U;37261
IAE Tours;Tours;0370800U;0371088G;37261
UQTR;Trois Rivieres - Canada;ETRANGERPU;ETRANGERPU;Trois-Rivières
IUT de Troyes;Troyes;0511296G;0100684P;10387
Lycée Les Lombards;Troyes;0100025Y;0100025Y;10387
ESC Troyes;Troyes;0101059X;0101059X;10387
Université de Technologie de Troyes (UTT);Troyes;0101060Y;0101060Y;10387
EPF Ecole d'ingénieurs;Troyes;0920674H;0101131A;10325
EPF Troyes;Troyes;0920674H;0101131A;10325
Groupe ESC Troyes;Troyes;0101059X;0101059X;10387
EPF Ecole d’Ingénieur;Troyes;0920674H;0101131A;10325
EPF Ecole d'Ingénieur;Troyes;0920674H;0101131A;10325
Université de technologie de Troyes;Troyes;0101060Y;0101060Y;10387
